crop_year,year,product,province,area_plant_rai,area_harvest_rai,production_ton
2549/50,2550,ข้าวนาปี,ทั้งประเทศ,57541825,53500163,23108401
2550/51,2551,ข้าวนาปี,ทั้งประเทศ,57385921,53892143,23582596
2551/52,2552,ข้าวนาปี,ทั้งประเทศ,57422337,54385144,23508833
2552/53,2553,ข้าวนาปี,ทั้งประเทศ,57497441,54739638,23430770
2553/54,2554,ข้าวนาปี,ทั้งประเทศ,64574071,59690203,25742917
2554/55,2555,ข้าวนาปี,ทั้งประเทศ,65303711,56752413,25867373
2555/56,2556,ข้าวนาปี,ทั้งประเทศ,64950593,58766481,27233902.802
2556/57,2557,ข้าวนาปี,ทั้งประเทศ,62079904,58135809,27090184
2557/58,2558,ข้าวนาปี,ทั้งประเทศ,60790599,58246976,26269964
2558/59,2559,ข้าวนาปี,ทั้งประเทศ,58063476,55095547,24311539
2559/60,2560,ข้าวนาปี,ทั้งประเทศ,58645474,56545773,25236345
2560/61,2561,ข้าวนาปี,ทั้งประเทศ,59220823,54962767,24934349
2561/62,2562,ข้าวนาปี,ทั้งประเทศ,59980731,55627198,25177856
2549/50,2550,ข้าวนาปี,ภาคเหนือ,12786349,11782682,6531345
2550/51,2551,ข้าวนาปี,ภาคเหนือ,12779212,11979600,6687982
2551/52,2552,ข้าวนาปี,ภาคเหนือ,12606460,12035933,6674736
2552/53,2553,ข้าวนาปี,ภาคเหนือ,12740322,11931999,6556307
2553/54,2554,ข้าวนาปี,ภาคเหนือ,14331994,13403839,7315131
2554/55,2555,ข้าวนาปี,ภาคเหนือ,15154331,12201340,7121027
2555/56,2556,ข้าวนาปี,ภาคเหนือ,14927584,14673445,8744836
2556/57,2557,ข้าวนาปี,ภาคเหนือ,14673698,14352849,8637165
2557/58,2558,ข้าวนาปี,ภาคเหนือ,13715723,13580730,7816734
2558/59,2559,ข้าวนาปี,ภาคเหนือ,12768145,12167504,6801718
2559/60,2560,ข้าวนาปี,ภาคเหนือ,13026882,12507802,7137534
2560/61,2561,ข้าวนาปี,ภาคเหนือ,13328429,12447110,7209510
2561/62,2562,ข้าวนาปี,ภาคเหนือ,13814978,13597349,7847727
2549/50,2550,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,32711384,30733339,10414054
2550/51,2551,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,32773544,30709468,10499821
2551/52,2552,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,33071286,31082257,10419639
2552/53,2553,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,34121687,32584810,10871129
2553/54,2554,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,39841420,36720691,12984135
2554/55,2555,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,39565392,35476307,13452032
2555/56,2556,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,39487220,33852006,12303561
2556/57,2557,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,37066629,33750137,12295137
2557/58,2558,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,37030335,34793705,12467579
2558/59,2559,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,36193410,34173002,12230973
2559/60,2560,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,36574140,35286040,12800343
2560/61,2561,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,36636516,33492810,12189325
2561/62,2562,ข้าวนาปี,ภาคตะวันออกเฉียงเหนือ,36878181,32869030,11706257
2549/50,2550,ข้าวนาปี,ภาคกลาง,9946075,9008042,5353666
2550/51,2551,ข้าวนาปี,ภาคกลาง,9814339,9308627,5580092
2551/52,2552,ข้าวนาปี,ภาคกลาง,9820320,9475139,5651269
2552/53,2553,ข้าวนาปี,ภาคกลาง,9392651,9044523,5505601
2553/54,2554,ข้าวนาปี,ภาคกลาง,9213059,8471420,5014112
2554/55,2555,ข้าวนาปี,ภาคกลาง,9544587,8115695,4876834
2555/56,2556,ข้าวนาปี,ภาคกลาง,9553265,9290298,5751115
2556/57,2557,ข้าวนาปี,ภาคกลาง,9395366,9135424,5740365
2557/58,2558,ข้าวนาปี,ภาคกลาง,9156546,8998902,5599613
2558/59,2559,ข้าวนาปี,ภาคกลาง,8261445,7922242,4904410
2559/60,2560,ข้าวนาปี,ภาคกลาง,8286984,8079345,4994559
2560/61,2561,ข้าวนาปี,ภาคกลาง,8522252,8352218,5216733
2561/62,2562,ข้าวนาปี,ภาคกลาง,8507059,8382239,5250274
2549/50,2550,ข้าวนาปี,ภาคใต้,2098017,1976100,809336
2550/51,2551,ข้าวนาปี,ภาคใต้,2018826,1894448,814701
2551/52,2552,ข้าวนาปี,ภาคใต้,1924271,1791815,763189
2552/53,2553,ข้าวนาปี,ภาคใต้,1242781,1178306,497733
2553/54,2554,ข้าวนาปี,ภาคใต้,1187598,1094253,429539
2554/55,2555,ข้าวนาปี,ภาคใต้,1039401,959071,417480
2555/56,2556,ข้าวนาปี,ภาคใต้,982524,950732,434391.3
2556/57,2557,ข้าวนาปี,ภาคใต้,944211,897399,417517
2557/58,2558,ข้าวนาปี,ภาคใต้,887995,873639,386038
2558/59,2559,ข้าวนาปี,ภาคใต้,840476,832799,374438
2559/60,2560,ข้าวนาปี,ภาคใต้,757468,672586,303909
2560/61,2561,ข้าวนาปี,ภาคใต้,733626,670629,318781
2561/62,2562,ข้าวนาปี,ภาคใต้,780513,778580,373598
2549/50,2550,ข้าวนาปี,เชียงราย,1234079,1207997,660041
2550/51,2551,ข้าวนาปี,เชียงราย,1241920,1207192,661713
2551/52,2552,ข้าวนาปี,เชียงราย,1220242,1165392,656026
2552/53,2553,ข้าวนาปี,เชียงราย,1211576,1156724,652278
2553/54,2554,ข้าวนาปี,เชียงราย,1261022,1235659,684735
2554/55,2555,ข้าวนาปี,เชียงราย,1348827,1233556,726211
2555/56,2556,ข้าวนาปี,เชียงราย,1351731,1342387,838417
